;name;layer_key;kernel_index;layer_index;n_bits_flipped;bit_disrupted;q_aware_test_accuracy;q_aware_test_acc_degradation;q_aware_test_loss
;original;;;;;;(0.9114999771118164, 0.9117);;(0.2890910804271698, 0.3396423)
227;0_2023-05-23 10:06:46;quant_conv2d;1;2;4;28;0.216;-0.6956;9.13241
228;0_2023-05-23 10:06:50;quant_conv2d;1;2;5;28;0.1849;-0.7266999999999999;9.717526
229;0_2023-05-23 10:06:54;quant_conv2d;1;2;6;28;0.1674;-0.7442;10.043678
230;0_2023-05-23 10:06:58;quant_conv2d;1;2;7;28;0.1517;-0.7599;10.271684
231;0_2023-05-23 10:07:02;quant_conv2d;1;2;8;28;0.1421;-0.7695;10.464566
232;0_2023-05-23 10:07:06;quant_conv2d;1;2;1;29;0.5669;-0.3447;4.292418
233;0_2023-05-23 10:07:10;quant_conv2d;1;2;2;29;0.3838;-0.5278;6.60681
234;0_2023-05-23 10:07:13;quant_conv2d;1;2;3;29;0.2855;-0.6261;8.02402
235;0_2023-05-23 10:07:17;quant_conv2d;1;2;4;29;0.2186;-0.693;9.02839
236;0_2023-05-23 10:07:21;quant_conv2d;1;2;5;29;0.192;-0.7196;9.620628
237;0_2023-05-23 10:07:25;quant_conv2d;1;2;6;29;0.1638;-0.7478;10.050982
238;0_2023-05-23 10:07:29;quant_conv2d;1;2;7;29;0.1514;-0.7602;10.260027
239;0_2023-05-23 10:07:33;quant_conv2d;1;2;8;29;0.1431;-0.7685;10.507872
240;0_2023-05-23 10:07:37;quant_conv2d;1;2;1;30;0.5738;-0.3378;4.1875186
241;0_2023-05-23 10:07:40;quant_conv2d;1;2;2;30;0.3841;-0.5275;6.5952196
242;0_2023-05-23 10:07:44;quant_conv2d;1;2;3;30;0.2857;-0.6258999999999999;8.088789
243;0_2023-05-23 10:07:48;quant_conv2d;1;2;4;30;0.2257;-0.6859;8.991485
244;0_2023-05-23 10:07:52;quant_conv2d;1;2;5;30;0.1961;-0.7155;9.513504
245;0_2023-05-23 10:07:56;quant_conv2d;1;2;6;30;0.161;-0.7505999999999999;10.050831
246;0_2023-05-23 10:08:00;quant_conv2d;1;2;7;30;0.1525;-0.7591;10.272062
247;0_2023-05-23 10:08:04;quant_conv2d;1;2;8;30;0.1451;-0.7665;10.411316
248;0_2023-05-23 10:08:07;quant_conv2d;1;2;1;31;0.552;-0.3595999999999999;4.594867
249;0_2023-05-23 10:08:11;quant_conv2d;1;2;2;31;0.3642;-0.5473999999999999;7.067289
250;0_2023-05-23 10:08:15;quant_conv2d;1;2;3;31;0.26;-0.6516;8.600485
251;0_2023-05-23 10:08:19;quant_conv2d;1;2;4;31;0.2106;-0.701;9.490637
252;0_2023-05-23 10:08:22;quant_conv2d;1;2;5;31;0.163;-0.7485999999999999;10.180552
253;0_2023-05-23 10:08:26;quant_conv2d;1;2;6;31;0.1473;-0.7643;10.556494
